id,data,si_address,si_bank_acct,si_credit_card,si_email,si_govt_id,si_name,si_password,si_phone_num,si_secret_keys,si_user
0,"""{""project"": ""hold speech 28303216"", ""user"": ""Patrick Stevenson Jr."", ""null"": null, ""TaxId"": ""Jones-Murphy""}""",False,False,False,False,False,False,False,False,False,True
1,"""{""org"": ""character"", ""username"": ""Kimberly Cabrera"", ""X-RateLimit-Limit"": -495236836, ""ccountry"": ""Zambia""}""",True,False,False,False,False,False,False,False,False,True
2,"""{""body"": null, ""broker-id"": ""91020753 Ur3brHev onto"", ""username"": ""Elizabeth Mccoy"", ""null"": null, ""state"": ""Texas""}""",True,False,False,False,False,False,False,False,False,True
3,"""{""username"": ""Mr. Chase Horne"", ""Accept"": ""and 38137677 ability leYRiXma year"", ""X-RateLimit-Limit"": -934680320, ""X-RateLimit-Reset"": -1042287248, ""X-GitHub-Request-Id"": -1050550623, ""PhoneCountryCode"": ""TR""}""",False,False,False,False,False,False,False,True,True,True
4,"{""AggsQueries"": null, ""area"": ""current"", ""nb_analyses"": 17, ""username"": ""Jessica Anderson"", ""project_slug"": ""83714767 its YkdWlpBD uwq3LNtJ hundred"", ""gender"": ""M""}",False,False,False,False,False,False,False,False,False,True
5,"""{""username"": ""Brian Martinez"", ""CountryCode"": ""SL""}""",True,False,False,False,False,False,False,False,False,True
6,"""{""username"": ""Stephanie Wilson""}""",False,False,False,False,False,False,False,False,False,True
7,"""{""user_id"": ""Casey Allen"", ""IdentityDocument"": ""310-16-1610""}""",False,False,False,False,True,False,False,False,False,True
8,"""{""username"": ""Erica Page"", ""project_slug"": ""56460272"", ""analysis_slug"": ""team her AU8NEvTW teach"", ""bankCity"": ""Anthonytown""}""",False,False,False,False,False,False,False,False,False,True
9,"""{""org"": ""state eHaBWiIE wo9ZVduU 46514371"", ""username"": ""Miss Lisa Carpenter MD"", ""X-GitHub-Media-Type"": ""Ag4K1ztt agree EpjKjhQq whom"", ""Accept"": ""lawyer receive tQqJvSLf 69039242 figure"", ""X-RateLimit-Limit"": 1038110369, ""X-RateLimit-Remaining"": -27339997, ""X-GitHub-Request-Id"": -276567787, ""fullName"": ""Monica Gray""}""",False,False,False,False,False,True,False,False,True,True
10,"""{""class"": ""cover station j1mO1Xh8 apxPAEKH"", ""user"": ""Melissa Schmidt"", ""idNumber"": ""861-79-3017""}""",False,False,False,False,True,False,False,False,False,True
11,"""{""username"": ""Richard Alexander"", ""Accept"": ""but word"", ""X-RateLimit-Limit"": 553290394, ""X-RateLimit-Remaining"": 1013163119, ""X-GitHub-Request-Id"": 581929530, ""PostalCode"": ""13368""}""",True,False,False,False,False,False,False,False,True,True
12,"""{""accountId"": ""TVFE1077219518346"", ""linkId"": ""2SdelUmC 34454021 abJqjTkE woman wonder third"", ""profileId"": ""note story"", ""webPropertyId"": ""statement DWfkPpwN"", ""null"": null, ""user"": ""Jasmine Hall""}""",False,False,False,False,False,False,False,False,False,True
13,"{""class"": ""ByTBUFgG pretty rRBWedgi"", ""user"": ""Amanda Jimenez"", ""recordLocator"": ""3R1GESWQ""}",False,False,False,False,False,False,False,False,False,True
14,"""{""user_id"": ""Thomas Rollins"", ""App User Object"": null, ""doingBusinessAs"": ""Dorsey, Snyder and Tyler""}""",False,False,False,False,False,False,False,False,False,True
15,"""{""body"": null, ""AwsAccountId"": ""37558900 giwXHA7D dDDdpvzG"", ""Namespace"": ""consumer IYgS3A9z population"", ""UserName"": ""Teresa Woods"", ""null"": null, ""City"": ""West Tiffanychester""}""",True,False,False,False,False,False,False,False,False,True
16,"""{""username"": ""William Schmitt"", ""Accept"": ""rich vYxlMmAX aVYXjY98 figure garden 23091225"", ""X-RateLimit-Limit"": 418031004, ""X-RateLimit-Remaining"": -739345293, ""X-RateLimit-Reset"": -292427983, ""X-GitHub-Request-Id"": 211326566, ""dba"": ""Lynch-Perkins""}""",False,False,False,False,False,False,False,False,True,True
17,"""{""username"": ""Cynthia Blevins"", ""Dob"": ""1991-06-10""}""",False,False,False,False,False,False,False,False,False,True
18,"""{""username"": ""Marc Brown"", ""Accept"": ""beautiful VUfxVkTJ 87988967"", ""X-RateLimit-Remaining"": 615467432, ""bic"": ""RPLZ8542075079478""}""",False,False,False,False,False,False,False,False,False,True
19,"""{""fingerprint"": ""energy"", ""project"": ""lJoiXnln q1iSlC26 75158970"", ""user"": ""Daniel Lutz"", ""null"": null, ""email"": ""mosleycraig@williams.info""}""",False,False,False,True,False,False,False,False,False,True
20,"""{""accountId"": ""ATRK3553546039030"", ""expand"": ""applicationRoles"", ""key"": ""kLbgDOMT value"", ""username"": ""Shelley Brown"", ""recordLocator"": ""MEQ6YZG1""}""",False,False,False,False,False,False,False,False,False,True
21,"{""user_id"": ""Chad Garcia"", ""Admin_User Object"": null, ""province"": ""West Virginia""}",True,False,False,False,False,False,False,False,False,True
22,"""{""username"": ""Robert Garcia"", ""body"": null, ""signature_sha1"": ""af7487187358b3db9d76f05cf51ed1e117b33b8e""}""",False,False,False,False,False,False,False,False,False,True
23,"{""username"": ""Zachary Brown"", ""project_slug"": ""14509405 write 3bt2u6u8"", ""collection"": ""npsOzsFv 04143086 not hZkEIJrU organization"", ""Email"": ""nicholsonjoseph@gmail.com""}",False,False,False,True,False,False,False,False,False,True
